"가정별","인구구조,부양비별",1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제순이동-중위)","- 구성비(%): 65세 이상",2.9,2.9,3.0,3.0,3.0,3.1,3.1,3.1,3.0,3.0,3.1,3.2,3.1,3.2,3.2,3.5,3.5,3.6,3.7,3.7,3.8,3.9,4.0,4.0,4.1,4.3,4.4,4.5,4.7,4.8,5.1,5.2,5.4,5.5,5.7,5.9,6.1,6.4,6.6,6.9,7.2,7.5,7.9,8.2,8.6,9.0,9.3,9.8,10.2,10.5,10.8,11.0,11.5,11.9,12.4,12.8,13.2,13.8,14.3,14.9,15.7,16.6,17.5,18.4,19.4,20.6,21.8,22.7,23.8,24.6,25.5
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제순이동-중위)","총부양비",82.6,84.7,86.0,86.8,87.5,88.3,88.8,88.3,87.5,86.0,83.8,82.0,80.1,77.8,75.4,72.5,69.5,66.8,64.3,62.3,60.7,59.4,58.1,56.5,54.6,52.5,50.5,48.7,47.1,45.7,44.3,43.5,42.9,42.5,42.0,41.4,40.8,40.1,39.7,39.5,39.5,39.5,39.5,39.4,39.3,39.1,38.7,38.3,37.8,37.3,36.9,36.3,36.2,36.2,36.2,36.2,36.2,36.7,37.1,37.6,38.7,39.7,40.8,41.8,42.9,44.5,46.1,47.3,48.8,49.9,51.4
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제순이동-중위)","유소년부양비",77.3,79.3,80.5,81.2,81.9,82.5,82.8,82.5,81.8,80.4,78.2,76.2,74.5,72.2,69.7,66.6,63.5,60.8,58.3,56.2,54.6,53.2,51.8,50.2,48.2,46.0,43.9,42.0,40.2,38.7,36.9,36.0,35.3,34.6,33.9,33.0,32.2,31.2,30.5,29.8,29.4,29.0,28.5,27.9,27.3,26.6,25.7,24.8,23.8,22.9,22.0,21.2,20.6,20.0,19.4,18.8,18.3,17.9,17.5,17.1,16.9,16.6,16.2,15.6,15.2,14.7,14.3,13.8,13.4,13.1,12.8
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제순이동-중위)","노년부양비",5.3,5.4,5.5,5.6,5.7,5.8,5.9,5.8,5.7,5.6,5.7,5.8,5.6,5.6,5.7,6.0,6.0,6.0,6.0,6.1,6.1,6.2,6.3,6.3,6.4,6.5,6.6,6.7,6.9,7.0,7.4,7.5,7.7,7.9,8.1,8.3,8.6,8.9,9.3,9.6,10.1,10.5,11.0,11.5,12.0,12.5,13.0,13.5,14.0,14.4,14.8,15.0,15.6,16.3,16.8,17.5,18.0,18.8,19.6,20.4,21.8,23.1,24.6,26.1,27.8,29.7,31.8,33.5,35.4,36.9,38.6
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제순이동-중위)","노령화지수",6.9,6.8,6.8,6.9,6.9,7.0,7.2,7.0,6.9,7.0,7.2,7.7,7.5,7.8,8.1,8.9,9.4,9.9,10.3,10.8,11.2,11.6,12.1,12.6,13.3,14.2,15.0,16.0,17.1,18.2,20.0,20.9,21.7,22.7,23.9,25.2,26.9,28.6,30.4,32.3,34.3,36.2,38.6,41.1,43.8,46.8,50.4,54.6,58.8,62.9,67.2,71.0,76.1,81.5,87.0,93.0,98.4,105.1,111.7,119.2,129.3,139.5,152.0,167.1,183.2,201.5,223.0,242.6,263.9,281.5,301.6
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제순이동-중위)","중위연령(세)",19.0,18.9,18.7,18.5,18.3,18.3,18.3,18.3,18.3,18.4,18.5,18.6,18.7,18.9,19.2,19.6,20.0,20.5,20.9,21.4,21.8,22.2,22.7,23.2,23.8,24.3,24.8,25.4,25.9,26.4,27.0,27.5,27.9,28.4,28.8,29.3,29.8,30.3,30.7,31.2,31.8,32.3,32.9,33.5,34.1,34.8,35.4,36.1,36.7,37.3,37.9,38.5,39.1,39.7,40.3,40.9,41.4,42.0,42.6,43.1,43.7,44.3,45.0,45.6,46.3,46.9,47.5,48.0,48.6,49.2,49.8
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제순이동-중위)","중위연령(세)-남자",18.2,18.0,17.9,17.7,17.6,17.6,17.6,17.6,17.6,17.7,17.9,18.0,18.0,18.3,18.5,18.9,19.4,19.9,20.3,20.8,21.2,21.7,22.2,22.7,23.2,23.8,24.3,24.8,25.3,25.8,26.3,26.7,27.1,27.6,28.0,28.4,28.9,29.4,29.8,30.3,30.8,31.4,32.0,32.6,33.2,33.8,34.4,35.1,35.7,36.3,36.9,37.5,38.0,38.5,39.1,39.6,40.1,40.7,41.2,41.7,42.3,43.0,43.6,44.2,44.9,45.5,46.1,46.7,47.3,47.9,48.5
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제순이동-중위)","중위연령(세)-여자",19.8,19.7,19.6,19.4,19.2,19.1,19.1,19.1,19.1,19.1,19.2,19.4,19.4,19.6,19.9,20.3,20.8,21.2,21.6,22.0,22.4,22.8,23.3,23.8,24.3,24.9,25.4,26.0,26.5,27.1,27.7,28.2,28.7,29.2,29.7,30.2,30.7,31.2,31.7,32.2,32.7,33.3,33.9,34.5,35.1,35.8,36.5,37.1,37.8,38.4,39.0,39.6,40.2,40.8,41.5,42.1,42.7,43.3,43.9,44.5,45.1,45.8,46.5,47.1,47.7,48.4,48.9,49.5,50.1,50.6,51.2
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제순이동-중위)","평균연령(세)",23.1,22.9,22.9,22.9,22.9,23.0,23.1,23.1,23.2,23.4,23.6,23.8,23.8,23.9,24.1,24.5,24.8,25.1,25.4,25.7,25.9,26.2,26.5,26.8,27.1,27.5,27.9,28.3,28.7,29.0,29.5,29.8,30.2,30.5,30.8,31.2,31.5,31.9,32.3,32.7,33.1,33.5,34.0,34.5,34.9,35.5,36.0,36.5,37.0,37.4,37.9,38.4,38.8,39.3,39.7,40.2,40.7,41.2,41.7,42.2,42.7,43.3,43.9,44.5,45.1,45.6,46.2,46.7,47.2,47.6,48.1
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제순이동-중위)","평균연령(세)-남자",22.3,22.2,22.1,22.1,22.1,22.2,22.3,22.4,22.5,22.7,22.8,23.0,23.0,23.1,23.2,23.5,23.8,24.2,24.5,24.8,25.0,25.3,25.6,25.9,26.2,26.6,27.0,27.4,27.7,28.1,28.5,28.8,29.1,29.4,29.7,30.1,30.4,30.8,31.1,31.5,31.9,32.3,32.8,33.3,33.8,34.3,34.8,35.3,35.8,36.3,36.7,37.2,37.6,38.1,38.5,39.0,39.5,40.0,40.5,41.0,41.5,42.1,42.7,43.3,43.9,44.4,45.0,45.5,46.0,46.4,46.9
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제순이동-중위)","평균연령(세)-여자",23.9,23.7,23.7,23.7,23.7,23.8,23.9,23.9,24.0,24.1,24.3,24.6,24.6,24.8,25.0,25.4,25.7,26.0,26.3,26.6,26.8,27.1,27.3,27.7,28.0,28.4,28.8,29.2,29.6,30.0,30.5,30.9,31.3,31.6,32.0,32.3,32.7,33.1,33.4,33.8,34.3,34.7,35.2,35.6,36.1,36.6,37.2,37.7,38.1,38.6,39.1,39.6,40.0,40.5,40.9,41.4,41.9,42.4,42.9,43.4,43.9,44.5,45.1,45.7,46.3,46.8,47.4,47.9,48.4,48.8,49.3
